Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration,Commissions
1694293453,MNQZ5,11/25/2025 19:15:57 -05:00,11/25/2025 19:16:11 -05:00,25091.000000000,25092.000000000,1.48000,4.000000000,2,Long,11/26/2025 00:00:00 -06:00,00:00:13.4639200,
1694306374,MNQZ5,11/25/2025 19:16:18 -05:00,11/25/2025 19:18:02 -05:00,25094.500000000,25099.500000000,1.48000,20.000000000,2,Long,11/26/2025 00:00:00 -06:00,00:01:44.1175900,
1694536889,MNQZ5,11/25/2025 19:18:51 -05:00,11/25/2025 20:10:06 -05:00,25102.000000000,25129.000000000,1.48000,-108.000000000,2,Short,11/26/2025 00:00:00 -06:00,00:51:14.3715210,
1694536890,MNQZ5,11/25/2025 19:20:06 -05:00,11/25/2025 20:10:06 -05:00,25106.750000000,25129.000000000,1.48000,-89.000000000,2,Short,11/26/2025 00:00:00 -06:00,00:49:59.4063000,
1694536891,MNQZ5,11/25/2025 19:20:08 -05:00,11/25/2025 20:10:06 -05:00,25106.250000000,25129.000000000,1.48000,-91.000000000,2,Short,11/26/2025 00:00:00 -06:00,00:49:57.4901130,
1694560758,MNQZ5,11/25/2025 20:10:06 -05:00,11/25/2025 20:14:04 -05:00,25129.000000000,25141.500000000,6.66000,225.000000000,9,Long,11/26/2025 00:00:00 -06:00,00:03:58.0584270,
1694563035,MNQZ5,11/25/2025 20:13:55 -05:00,11/25/2025 20:14:34 -05:00,25140.000000000,25142.250000000,6.66000,40.500000000,9,Long,11/26/2025 00:00:00 -06:00,00:00:39.8896140,
1694568194,MNQZ5,11/25/2025 20:14:48 -05:00,11/25/2025 20:15:44 -05:00,25141.750000000,25143.750000000,6.66000,36.000000000,9,Long,11/26/2025 00:00:00 -06:00,00:00:56.9162520,
1694657758,MNQZ5,11/25/2025 20:16:05 -05:00,11/25/2025 20:32:03 -05:00,25146.750000000,25160.000000000,2.22000,79.500000000,3,Long,11/26/2025 00:00:00 -06:00,00:15:57.9480370,
1694726083,MNQZ5,11/25/2025 20:25:01 -05:00,11/25/2025 20:47:02 -05:00,25139.500000000,25157.750000000,2.22000,109.500000000,3,Long,11/26/2025 00:00:00 -06:00,00:22:00.8885220,
1694739753,MNQZ5,11/25/2025 20:47:19 -05:00,11/25/2025 20:51:10 -05:00,25157.250000000,25157.750000000,2.22000,-3.000000000,3,Short,11/26/2025 00:00:00 -06:00,00:03:51.5122580,
1694757885,MNQZ5,11/25/2025 20:51:26 -05:00,11/25/2025 20:56:57 -05:00,25153.500000000,25160.500000000,2.22000,-42.000000000,3,Short,11/26/2025 00:00:00 -06:00,00:05:31.5659320,
1694757886,MNQZ5,11/25/2025 20:56:45 -05:00,11/25/2025 20:56:57 -05:00,25159.500000000,25160.500000000,1.48000,-4.000000000,2,Short,11/26/2025 00:00:00 -06:00,00:00:11.8506060,
1694781282,MNQZ5,11/25/2025 20:57:16 -05:00,11/25/2025 21:01:25 -05:00,25157.750000000,25162.750000000,3.70000,-50.000000000,5,Short,11/26/2025 00:00:00 -06:00,00:04:08.5249200,
1694832320,MNQZ5,11/25/2025 21:01:56 -05:00,11/25/2025 21:15:48 -05:00,25162.250000000,25169.750000000,3.70000,75.000000000,5,Long,11/26/2025 00:00:00 -06:00,00:13:51.3861320,
1694832321,MNQZ5,11/25/2025 21:04:42 -05:00,11/25/2025 21:15:48 -05:00,25159.750000000,25169.750000000,3.70000,100.000000000,5,Long,11/26/2025 00:00:00 -06:00,00:11:05.5071630,
1694831818,MNQZ5,11/25/2025 21:01:25 -05:00,11/25/2025 21:15:43 -05:00,25162.750000000,25168.750000000,3.70000,60.000000000,5,Long,11/26/2025 00:00:00 -06:00,00:14:18.3329020,
1694836541,MNQZ5,11/25/2025 21:15:48 -05:00,11/25/2025 21:16:15 -05:00,25169.750000000,25170.000000000,3.70000,-2.500000000,5,Short,11/26/2025 00:00:00 -06:00,00:00:27.5894560,
1694964287,MNQZ5,11/25/2025 21:47:16 -05:00,11/25/2025 21:48:15 -05:00,25175.750000000,25174.250000000,7.40000,-30.000000000,10,Long,11/26/2025 00:00:00 -06:00,00:00:58.9400680,
1694981115,MNQZ5,11/25/2025 21:48:24 -05:00,11/25/2025 21:52:34 -05:00,25173.250000000,25179.250000000,14.80000,240.000000000,20,Long,11/26/2025 00:00:00 -06:00,00:04:09.4513920,
1694985470,MNQZ5,11/25/2025 21:53:01 -05:00,11/25/2025 21:53:33 -05:00,25178.500000000,25182.000000000,14.80000,140.000000000,20,Long,11/26/2025 00:00:00 -06:00,00:00:32.5732080,
1694989206,MNQZ5,11/25/2025 21:54:03 -05:00,11/25/2025 21:54:18 -05:00,25182.000000000,25182.000000000,14.80000,0.000000000,20,Short,11/26/2025 00:00:00 -06:00,00:00:15.1803820,
1694995569,MNQZ5,11/25/2025 21:55:33 -05:00,11/25/2025 21:56:56 -05:00,25182.250000000,25179.500000000,14.80000,110.000000000,20,Short,11/26/2025 00:00:00 -06:00,00:01:22.4395050,
